Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 0 	 0 	 0.0
house12 	 9 	 0 	 0.0
house13 	 0 	 0 	 0.0
house14 	 0 	 0 	 0.0
house15 	 4 	 0 	 0.0
house16 	 0 	 0 	 0.0
house17 	 2 	 0 	 0.0
house18 	 0 	 0 	 0.0
house19 	 1 	 0 	 0.0
house20 	 3 	 3 	 40562.39999993138
house21 	 3 	 3 	 6905.866666383646
house22 	 11 	 11 	 10738.909090625692
house23 	 5 	 5 	 24821.79999946322
house24 	 3 	 0 	 0.0
house25 	 14 	 0 	 0.0
house26 	 3 	 0 	 0.0
house27 	 5 	 0 	 0.0
house28 	 0 	 0 	 0.0
house29 	 2 	 2 	 1941.349999691356
house30 	 0 	 0 	 0.0
house31 	 3 	 3 	 13215.799999645025
house32 	 13 	 13 	 10557.184615018992
house33 	 4 	 0 	 0.0
house34 	 4 	 0 	 0.0
house35 	 0 	 0 	 0.0
house36 	 12 	 12 	 7218.191666365751
house37 	 0 	 0 	 0.0
house38 	 3 	 3 	 17758.699999495526
house39 	 7 	 7 	 8524.114285418116
house40 	 15 	 0 	 0.0
house41 	 0 	 0 	 0.0
house42 	 1 	 1 	 1285.199999790544
house43 	 3 	 3 	 30483.866666046437
house44 	 1 	 0 	 0.0
house45 	 0 	 0 	 0.0
house46 	 5 	 0 	 0.0
house47 	 4 	 4 	 22964.349999495444
house48 	 5 	 0 	 0.0
house49 	 0 	 0 	 0.0
house50 	 2 	 2 	 7310.5499997044935
house51 	 10 	 10 	 8994.009999715783
house52 	 6 	 6 	 17827.483332856922
house53 	 6 	 6 	 10420.399999607007
house54 	 4 	 4 	 7079.749999701216
house55 	 3 	 3 	 10926.866666376665
house56 	 2 	 2 	 19158.449999416833
house57 	 0 	 0 	 0.0
house58 	 0 	 0 	 0.0
house59 	 0 	 0 	 0.0
house60 	 3 	 0 	 0.0
house61 	 1 	 1 	 15392.999999716565
house62 	 8 	 0 	 0.0
house63 	 0 	 0 	 0.0
house64 	 0 	 0 	 0.0
house65 	 0 	 0 	 0.0
house66 	 0 	 0 	 0.0
house67 	 4 	 4 	 40831.14999975424
house68 	 1 	 1 	 19140.299999495328
house69 	 0 	 0 	 0.0
house70 	 3 	 0 	 0.0
house71 	 10 	 10 	 11111.47999991089
house72 	 0 	 0 	 0.0
house73 	 4 	 4 	 9425.549999568186
house74 	 0 	 0 	 0.0
house75 	 13 	 12 	 6106.883333041566
house76 	 2 	 0 	 0.0
house77 	 0 	 0 	 0.0
house78 	 1 	 0 	 0.0
house79 	 2 	 2 	 19814.14999961847
house80 	 0 	 0 	 0.0
house81 	 0 	 0 	 0.0
house82 	 10 	 2 	 7374.749999655363
house83 	 6 	 6 	 2894.2833331137713
house84 	 8 	 0 	 0.0
house85 	 9 	 9 	 8431.855555211834
house86 	 3 	 0 	 0.0
house87 	 4 	 4 	 14136.449999573848
house88 	 2 	 2 	 16553.349999495953
house89 	 2 	 2 	 38950.749999368185
house90 	 4 	 1 	 4637.19999983536
house91 	 6 	 0 	 0.0
house92 	 0 	 0 	 0.0
house93 	 5 	 0 	 0.0
house94 	 1 	 1 	 6016.499999630425
house95 	 1 	 1 	 27422.69999955874
house96 	 1 	 1 	 14131.999999660875
house97 	 3 	 0 	 0.0
house98 	 4 	 0 	 0.0
house99 	 6 	 0 	 0.0
house100 	 7 	 7 	 10924.857142517987
house101 	 5 	 5 	 10293.299999611681
house102 	 2 	 0 	 0.0
house103 	 0 	 0 	 0.0
house104 	 5 	 5 	 8923.29999971674
house105 	 1 	 0 	 0.0
house106 	 5 	 0 	 0.0
house107 	 0 	 0 	 0.0
house108 	 0 	 0 	 0.0
house109 	 7 	 0 	 0.0
reliefcenter110 	 0 	 0 	 0.0
reliefcenter111 	 4 	 4 	 5208.049999789045
reliefcenter112 	 0 	 0 	 0.0
reliefcenter113 	 3 	 3 	 3197.8666664331017
reliefcenter114 	 7 	 7 	 4965.885714043849
reliefcenter115 	 5 	 5 	 9280.299999653897
reliefcenter116 	 1 	 1 	 23897.099999547645
reliefcenter117 	 4 	 4 	 7083.099999769736
reliefcenter118 	 4 	 0 	 0.0
mainreliefcenter119 	 2 	 2 	 2517.0999997202307
mainreliefcenter120 	 2 	 2 	 5881.049999716914
policestation121 	 4 	 4 	 17606.949999594126
publicworks122 	 0 	 0 	 0.0
evacuation123 	 8 	 4 	 11628.249999776119
evacuation124 	 4 	 4 	 4547.474999803721
evacuation125 	 1 	 1 	 491.399999782072
evacuation126 	 0 	 0 	 0.0
evacuation127 	 2 	 2 	 18091.84999956274
medical128 	 0 	 0 	 0.0
medical129 	 10 	 10 	 1155.9799998099545
supply130 	 0 	 0 	 0.0
supply131 	 6 	 6 	 10210.883333052507
supply132 	 0 	 0 	 0.0
supply133 	 0 	 0 	 0.0
supply134 	 0 	 0 	 0.0
supply135 	 5 	 0 	 0.0
supply136 	 0 	 0 	 0.0
supply137 	 7 	 0 	 0.0
supply138 	 3 	 3 	 40533.53333311651
supply139 	 9 	 9 	 28086.188888289325
supply140 	 4 	 0 	 0.0
supply141 	 0 	 0 	 0.0
supply142 	 2 	 2 	 14916.749999523727
supply143 	 7 	 7 	 1341.6857140647912
supply144 	 8 	 8 	 2166.0624998108437
supply145 	 0 	 0 	 0.0
supply146 	 5 	 5 	 8735.819999730924
supply147 	 6 	 6 	 11049.249999687809
supply148 	 2 	 0 	 0.0
supply149 	 0 	 0 	 0.0
emergency150 	 1 	 1 	 31166.299999439536
emergency151 	 7 	 7 	 34028.69999952127
emergency152 	 1 	 1 	 15771.99999944376
emergency153 	 4 	 4 	 28113.949999394776
repairer154 	 3 	 0 	 0.0
rescue155 	 0 	 0 	 0.0
rescue156 	 5 	 5 	 15040.719999586183
rescue157 	 4 	 4 	 15394.549999696286
rescue158 	 1 	 1 	 3616.7999996304206
rescue159 	 3 	 3 	 2242.3999998809195
rescue160 	 4 	 4 	 16544.249999573967
rescue161 	 1 	 1 	 21266.199999503508
rescue162 	 3 	 3 	 14788.666666240608
rescue163 	 2 	 2 	 10798.54999977993
rescue164 	 5 	 5 	 20105.899999594432
rescue165 	 3 	 3 	 14351.433332880964
rescue166 	 3 	 3 	 1936.399999709356
rescue167 	 5 	 4 	 8753.949999763001
rescue168 	 0 	 0 	 0.0
rescue169 	 0 	 0 	 0.0
rescue170 	 6 	 6 	 8840.383333025498
rescue171 	 0 	 0 	 0.0
rescue172 	 6 	 6 	 11093.999999710284
rescue173 	 0 	 0 	 0.0
rescue174 	 2 	 2 	 8301.599999630931
rescue175 	 0 	 0 	 0.0
rescue176 	 2 	 2 	 8638.849999743605
rescue177 	 8 	 0 	 0.0
rescue178 	 2 	 2 	 36701.84999936487
rescue179 	 11 	 11 	 15205.918181437139
rescue180 	 0 	 0 	 0.0
rescue181 	 1 	 1 	 1652.7999997544612
rescue182 	 4 	 0 	 0.0
rescue183 	 1 	 1 	 22008.399999599344
rescue184 	 0 	 0 	 0.0
rescue185 	 1 	 1 	 1469.3999997697028
rescue186 	 3 	 3 	 7958.233333028013
rescue187 	 8 	 8 	 5435.6249997130335
rescue188 	 2 	 2 	 1275.8999997354986
rescue189 	 0 	 0 	 0.0
rescue190 	 0 	 0 	 0.0
rescue191 	 2 	 2 	 34698.849999332946
rescue192 	 10 	 10 	 8664.989999669135
rescue193 	 5 	 0 	 0.0
rescue194 	 11 	 11 	 4972.245454327554
policepatrol195 	 0 	 0 	 0.0
policepatrol196 	 5 	 5 	 40958.16000019167
policepatrol197 	 3 	 3 	 14776.83333291777
policepatrol198 	 3 	 3 	 3882.13333305023
policepatrol199 	 0 	 0 	 0.0
people200 	 8 	 6 	 8522.083333101999
people201 	 4 	 4 	 4661.999999796119
people202 	 5 	 0 	 0.0
people203 	 6 	 0 	 0.0
people204 	 10 	 0 	 0.0
people205 	 0 	 0 	 0.0
people206 	 1 	 1 	 3302.7999997169463
people207 	 4 	 4 	 3729.4499998028195
people208 	 4 	 0 	 0.0
people209 	 2 	 2 	 16548.849999647126
people210 	 3 	 0 	 0.0
people211 	 5 	 5 	 9740.379999701638
people212 	 5 	 0 	 0.0
people213 	 4 	 4 	 1824.4999997824043
people214 	 4 	 4 	 9175.549999630555
people215 	 5 	 0 	 0.0
people216 	 2 	 0 	 0.0
people217 	 0 	 0 	 0.0
people218 	 0 	 0 	 0.0
people219 	 1 	 0 	 0.0
people220 	 4 	 0 	 0.0
people221 	 5 	 0 	 0.0
people222 	 0 	 0 	 0.0
people223 	 4 	 4 	 2940.4999997732075
people224 	 0 	 0 	 0.0
225 	 699 	 446 	 6020.909505669682 	 84600.00000043648 	 100000000 	 2
