Host 	 Total Query 	 Success
mv30 	 0 	 0
mv15 	 0 	 0
mv26 	 0 	 0
mv8 	 1 	 1
mv6 	 3 	 3
mv21 	 0 	 0
mv19 	 0 	 0
mv7 	 2 	 2
mv2 	 2 	 2
mv27 	 0 	 0
mv10 	 0 	 0
mv24 	 0 	 0
mv12 	 0 	 0
mv28 	 0 	 0
mv9 	 1 	 1
mv5 	 2 	 2
mv25 	 0 	 0
mv3 	 2 	 2
mv11 	 0 	 0
mv18 	 0 	 0
st20 	 4 	 4
mv16 	 0 	 0
mv4 	 0 	 0
mv17 	 0 	 0
mv29 	 0 	 0
mv1 	 1 	 1
mv14 	 0 	 0
mv13 	 0 	 0
mv22 	 0 	 0
mv23 	 0 	 0
mv20 	 0 	 0
31 	 18 	 18 	 345600.0999913397 	 500000 	 5
