Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 4 	 0 	 0.0
house12 	 0 	 0 	 0.0
house13 	 0 	 0 	 0.0
house14 	 1 	 0 	 0.0
house15 	 0 	 0 	 0.0
house16 	 9 	 0 	 0.0
house17 	 1 	 0 	 0.0
house18 	 1 	 1 	 5640.999999779779
house19 	 3 	 0 	 0.0
house20 	 0 	 0 	 0.0
house21 	 2 	 2 	 10674.949999571949
house22 	 5 	 5 	 7606.599999716624
house23 	 8 	 8 	 20891.34999946321
house24 	 3 	 0 	 0.0
house25 	 0 	 0 	 0.0
house26 	 0 	 0 	 0.0
house27 	 4 	 0 	 0.0
house28 	 3 	 3 	 2067.7999996760896
house29 	 3 	 3 	 6027.099999752739
house30 	 0 	 0 	 0.0
house31 	 0 	 0 	 0.0
house32 	 7 	 7 	 7369.842856828026
house33 	 3 	 0 	 0.0
house34 	 1 	 0 	 0.0
house35 	 5 	 5 	 13134.199999562703
house36 	 4 	 4 	 4843.749999704185
house37 	 0 	 0 	 0.0
house38 	 2 	 2 	 19654.44999949553
house39 	 1 	 1 	 2092.1999997280436
house40 	 0 	 0 	 0.0
house41 	 0 	 0 	 0.0
house42 	 2 	 2 	 2923.2499998449366
house43 	 3 	 3 	 30117.19999937977
house44 	 0 	 0 	 0.0
house45 	 1 	 1 	 893.3999996877465
house46 	 3 	 0 	 0.0
house47 	 8 	 8 	 23329.34999949543
house48 	 2 	 0 	 0.0
house49 	 0 	 0 	 0.0
house50 	 0 	 0 	 0.0
house51 	 0 	 0 	 0.0
house52 	 0 	 0 	 0.0
house53 	 6 	 6 	 4485.649999788442
house54 	 5 	 5 	 10966.439999660095
house55 	 0 	 0 	 0.0
house56 	 0 	 0 	 0.0
house57 	 1 	 1 	 2948.3999997081337
house58 	 15 	 0 	 0.0
house59 	 5 	 5 	 7300.459999801448
house60 	 1 	 0 	 0.0
house61 	 0 	 0 	 0.0
house62 	 3 	 0 	 0.0
house63 	 6 	 0 	 0.0
house64 	 0 	 0 	 0.0
house65 	 0 	 0 	 0.0
house66 	 0 	 0 	 0.0
house67 	 0 	 0 	 0.0
house68 	 1 	 1 	 21188.299999495328
house69 	 8 	 8 	 39008.049999516574
house70 	 7 	 0 	 0.0
house71 	 4 	 4 	 13285.34999986988
house72 	 1 	 1 	 292.4999997407285
house73 	 0 	 0 	 0.0
house74 	 1 	 1 	 12555.7999997043
house75 	 2 	 2 	 6235.04999970827
house76 	 2 	 0 	 0.0
house77 	 10 	 0 	 0.0
house78 	 6 	 0 	 0.0
house79 	 4 	 4 	 13566.649999618461
house80 	 3 	 0 	 0.0
house81 	 8 	 8 	 23086.049999452578
house82 	 0 	 0 	 0.0
house83 	 6 	 6 	 1530.6833331036948
house84 	 2 	 0 	 0.0
house85 	 1 	 1 	 16530.799999491857
house86 	 3 	 0 	 0.0
house87 	 1 	 1 	 25871.69999957386
house88 	 5 	 5 	 23270.899999495938
house89 	 8 	 8 	 33780.24999936827
house90 	 4 	 1 	 2141.1999998353604
house91 	 2 	 0 	 0.0
house92 	 1 	 0 	 0.0
house93 	 1 	 0 	 0.0
house94 	 4 	 4 	 15441.249999630414
house95 	 3 	 3 	 22719.19999955873
house96 	 5 	 5 	 11022.59999966086
house97 	 1 	 0 	 0.0
house98 	 2 	 0 	 0.0
house99 	 5 	 0 	 0.0
house100 	 1 	 1 	 10998.499999660839
house101 	 2 	 2 	 15015.749999611693
house102 	 4 	 0 	 0.0
house103 	 1 	 1 	 11600.499999613894
house104 	 0 	 0 	 0.0
house105 	 0 	 0 	 0.0
house106 	 10 	 0 	 0.0
house107 	 0 	 0 	 0.0
house108 	 4 	 4 	 18753.549999567003
house109 	 5 	 0 	 0.0
reliefcenter110 	 2 	 2 	 1189.8499996999635
reliefcenter111 	 1 	 1 	 7002.5999996584505
reliefcenter112 	 0 	 0 	 0.0
reliefcenter113 	 6 	 6 	 2879.416666421904
reliefcenter114 	 2 	 2 	 4358.84999982288
reliefcenter115 	 4 	 4 	 14035.2499996539
reliefcenter116 	 11 	 11 	 20938.145454093064
reliefcenter117 	 2 	 2 	 4414.49999974524
reliefcenter118 	 0 	 0 	 0.0
mainreliefcenter119 	 2 	 2 	 376.5499997127299
mainreliefcenter120 	 4 	 4 	 8378.974999691158
policestation121 	 1 	 1 	 25662.199999594137
publicworks122 	 0 	 0 	 0.0
evacuation123 	 2 	 0 	 0.0
evacuation124 	 0 	 0 	 0.0
evacuation125 	 0 	 0 	 0.0
evacuation126 	 0 	 0 	 0.0
evacuation127 	 6 	 6 	 18046.016666229374
medical128 	 0 	 0 	 0.0
medical129 	 9 	 9 	 770.9777776248003
supply130 	 2 	 0 	 0.0
supply131 	 4 	 4 	 12138.949999630388
supply132 	 3 	 3 	 12413.033333059218
supply133 	 0 	 0 	 0.0
supply134 	 1 	 0 	 0.0
supply135 	 7 	 0 	 0.0
supply136 	 5 	 5 	 41626.79999944833
supply137 	 0 	 0 	 0.0
supply138 	 7 	 7 	 44444.628571211804
supply139 	 0 	 0 	 0.0
supply140 	 1 	 0 	 0.0
supply141 	 5 	 5 	 26934.99999941748
supply142 	 4 	 4 	 4755.22499977532
supply143 	 4 	 4 	 1694.299999829991
supply144 	 3 	 3 	 1157.033333087403
supply145 	 3 	 3 	 2499.9333331628536
supply146 	 1 	 1 	 1635.2999998003506
supply147 	 7 	 7 	 8340.928571116374
supply148 	 4 	 0 	 0.0
supply149 	 0 	 0 	 0.0
emergency150 	 5 	 5 	 26258.499999439526
emergency151 	 20 	 20 	 39012.74999952146
emergency152 	 6 	 6 	 7793.916666341386
emergency153 	 1 	 1 	 8750.999999720087
repairer154 	 5 	 0 	 0.0
rescue155 	 2 	 2 	 17575.049999562576
rescue156 	 5 	 5 	 15627.499999523163
rescue157 	 3 	 3 	 8274.29999969629
rescue158 	 3 	 3 	 8385.299999630413
rescue159 	 3 	 3 	 21402.399999445646
rescue160 	 1 	 1 	 24999.499999573978
rescue161 	 16 	 16 	 23014.44999950345
rescue162 	 3 	 3 	 18515.16666624063
rescue163 	 2 	 2 	 13548.349999563663
rescue164 	 2 	 2 	 25625.149999594443
rescue165 	 0 	 0 	 0.0
rescue166 	 0 	 0 	 0.0
rescue167 	 9 	 5 	 10531.799999762998
rescue168 	 2 	 2 	 7774.049999558283
rescue169 	 0 	 0 	 0.0
rescue170 	 9 	 9 	 9741.811110813675
rescue171 	 1 	 1 	 20726.8999994443
rescue172 	 2 	 2 	 13821.84999974362
rescue173 	 0 	 0 	 0.0
rescue174 	 0 	 0 	 0.0
rescue175 	 1 	 1 	 27058.499999463864
rescue176 	 3 	 3 	 5095.266666410304
rescue177 	 3 	 0 	 0.0
rescue178 	 6 	 6 	 32212.183332698263
rescue179 	 0 	 0 	 0.0
rescue180 	 0 	 0 	 0.0
rescue181 	 3 	 3 	 2174.033333040939
rescue182 	 0 	 0 	 0.0
rescue183 	 5 	 5 	 17369.39999959933
rescue184 	 2 	 2 	 16065.249999634838
rescue185 	 3 	 3 	 52152.00000031354
rescue186 	 0 	 0 	 0.0
rescue187 	 1 	 1 	 14132.499999653883
rescue188 	 8 	 8 	 6131.537499750172
rescue189 	 0 	 0 	 0.0
rescue190 	 4 	 0 	 0.0
rescue191 	 4 	 4 	 21924.49999952466
rescue192 	 0 	 0 	 0.0
rescue193 	 0 	 0 	 0.0
rescue194 	 2 	 2 	 5345.749999884421
policepatrol195 	 1 	 1 	 9738.199999579992
policepatrol196 	 0 	 0 	 0.0
policepatrol197 	 0 	 0 	 0.0
policepatrol198 	 2 	 2 	 1896.2499997499854
policepatrol199 	 1 	 1 	 10926.899999662812
people200 	 3 	 2 	 12915.74999976868
people201 	 1 	 1 	 6091.499999798834
people202 	 0 	 0 	 0.0
people203 	 0 	 0 	 0.0
people204 	 5 	 0 	 0.0
people205 	 4 	 0 	 0.0
people206 	 1 	 1 	 184.79999968455377
people207 	 5 	 5 	 2064.1599997780895
people208 	 4 	 0 	 0.0
people209 	 2 	 2 	 1430.1999999404688
people210 	 0 	 0 	 0.0
people211 	 8 	 8 	 8629.824999734365
people212 	 2 	 0 	 0.0
people213 	 2 	 2 	 794.8999998647323
people214 	 1 	 1 	 12694.799999630566
people215 	 3 	 0 	 0.0
people216 	 12 	 0 	 0.0
people217 	 1 	 0 	 0.0
people218 	 1 	 1 	 5380.999999740721
people219 	 0 	 0 	 0.0
people220 	 0 	 0 	 0.0
people221 	 2 	 0 	 0.0
people222 	 11 	 11 	 12053.1999996838
people223 	 0 	 0 	 0.0
people224 	 0 	 0 	 0.0
225 	 599 	 406 	 6188.438400625252 	 84600.00000043648 	 100000000 	 2
