Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 5 	 2 	 6597.749999675982
house12 	 3 	 3 	 3119.5333331046327
house13 	 0 	 0 	 0.0
house14 	 6 	 6 	 43943.01666659445
house15 	 14 	 14 	 10804.464285400954
house16 	 0 	 0 	 0.0
house17 	 0 	 0 	 0.0
house18 	 0 	 0 	 0.0
house19 	 8 	 0 	 0.0
house20 	 6 	 6 	 6670.683333085788
house21 	 0 	 0 	 0.0
house22 	 0 	 0 	 0.0
house23 	 6 	 6 	 10442.71666640257
house24 	 8 	 8 	 3280.0874997431206
house25 	 9 	 9 	 7223.988888612156
house26 	 3 	 3 	 4805.299999731713
house27 	 1 	 1 	 3569.699999688848
house28 	 6 	 6 	 2256.1833331097464
house29 	 7 	 7 	 3370.4999997264044
house30 	 3 	 3 	 8457.733332945152
house31 	 0 	 0 	 0.0
house32 	 3 	 3 	 5451.899999685828
house33 	 5 	 0 	 0.0
house34 	 0 	 0 	 0.0
house35 	 5 	 5 	 19383.579999771977
house36 	 4 	 4 	 2146.999999757397
house37 	 0 	 0 	 0.0
house38 	 2 	 2 	 7669.449999692053
house39 	 6 	 6 	 8664.116666363649
house40 	 6 	 6 	 9096.216666326238
house41 	 3 	 3 	 6271.899999714252
house42 	 7 	 7 	 6274.34285687678
house43 	 3 	 3 	 8608.233332990925
house44 	 0 	 0 	 0.0
house45 	 0 	 0 	 0.0
house46 	 3 	 3 	 7919.366666411118
house47 	 3 	 3 	 22718.69999946421
house48 	 7 	 7 	 1669.4285711829227
house49 	 0 	 0 	 0.0
house50 	 0 	 0 	 0.0
house51 	 3 	 3 	 7543.533332987016
house52 	 2 	 2 	 3152.149999747775
house53 	 0 	 0 	 0.0
house54 	 0 	 0 	 0.0
house55 	 0 	 0 	 0.0
house56 	 2 	 2 	 3237.149999685538
house57 	 0 	 0 	 0.0
house58 	 2 	 2 	 1839.2499998034364
house59 	 0 	 0 	 0.0
house60 	 0 	 0 	 0.0
house61 	 5 	 5 	 19446.999999555916
house62 	 10 	 0 	 0.0
house63 	 0 	 0 	 0.0
house64 	 6 	 6 	 12361.94999969909
house65 	 4 	 4 	 19860.249999550393
house66 	 0 	 0 	 0.0
house67 	 4 	 4 	 4623.4749997452245
house68 	 8 	 8 	 2266.987499771948
house69 	 11 	 0 	 0.0
house70 	 2 	 2 	 2443.249999698721
house71 	 6 	 6 	 17123.866666255908
house72 	 4 	 4 	 4261.299999770634
house73 	 0 	 0 	 0.0
house74 	 0 	 0 	 0.0
house75 	 8 	 8 	 2643.124999785043
house76 	 5 	 5 	 2316.999999728311
house77 	 5 	 5 	 5947.619999803294
house78 	 2 	 2 	 19981.14999956691
house79 	 0 	 0 	 0.0
house80 	 4 	 4 	 40038.449999617296
house81 	 0 	 0 	 0.0
house82 	 1 	 0 	 0.0
house83 	 9 	 9 	 7629.21111081332
house84 	 4 	 4 	 5175.974999710293
house85 	 0 	 0 	 0.0
house86 	 0 	 0 	 0.0
house87 	 4 	 4 	 38673.949999391654
house88 	 4 	 4 	 20934.94999948551
house89 	 4 	 4 	 28932.349999383103
house90 	 0 	 0 	 0.0
house91 	 0 	 0 	 0.0
house92 	 6 	 6 	 48949.716666848144
house93 	 0 	 0 	 0.0
house94 	 2 	 2 	 2081.199999798284
house95 	 3 	 3 	 9818.666666470554
house96 	 10 	 10 	 4711.049999745721
house97 	 6 	 6 	 4825.049999745318
house98 	 0 	 0 	 0.0
house99 	 6 	 6 	 1246.066666460417
house100 	 1 	 1 	 26437.69999948553
house101 	 9 	 9 	 18681.15555507345
house102 	 11 	 0 	 0.0
house103 	 6 	 6 	 9649.633333058193
house104 	 12 	 12 	 7816.199999707261
house105 	 2 	 2 	 3252.7499996697115
house106 	 6 	 6 	 22821.416666209396
house107 	 0 	 0 	 0.0
house108 	 0 	 0 	 0.0
house109 	 1 	 1 	 2880.6999996793165
reliefcenter110 	 3 	 3 	 39281.09999945261
reliefcenter111 	 0 	 0 	 0.0
reliefcenter112 	 5 	 5 	 2444.3199997903453
reliefcenter113 	 2 	 2 	 2099.1499997940664
reliefcenter114 	 5 	 5 	 8875.899999717338
reliefcenter115 	 3 	 3 	 6336.466666474661
reliefcenter116 	 11 	 11 	 4700.199999749441
reliefcenter117 	 3 	 3 	 8270.133333058555
reliefcenter118 	 3 	 3 	 3922.399999746889
mainreliefcenter119 	 5 	 5 	 970.2399998147761
mainreliefcenter120 	 2 	 2 	 2746.2999998395953
policestation121 	 3 	 3 	 11165.866666429998
publicworks122 	 2 	 2 	 1819.7499997734521
evacuation123 	 5 	 5 	 2169.079999816052
evacuation124 	 3 	 0 	 0.0
evacuation125 	 5 	 5 	 6013.579999709443
evacuation126 	 8 	 8 	 1668.249999837762
evacuation127 	 0 	 0 	 0.0
medical128 	 11 	 11 	 2664.6909088834745
medical129 	 5 	 5 	 7253.039999744118
supply130 	 0 	 0 	 0.0
supply131 	 4 	 4 	 28599.34999938911
supply132 	 1 	 1 	 3159.39999978376
supply133 	 0 	 0 	 0.0
supply134 	 4 	 4 	 2441.1499997500014
supply135 	 3 	 3 	 24584.499999463136
supply136 	 0 	 0 	 0.0
supply137 	 12 	 12 	 2373.474999730547
supply138 	 1 	 1 	 3422.099999754326
supply139 	 4 	 2 	 7592.349999730428
supply140 	 4 	 4 	 1337.4999998652174
supply141 	 0 	 0 	 0.0
supply142 	 4 	 4 	 2865.174999817026
supply143 	 5 	 5 	 7873.859999689451
supply144 	 5 	 5 	 3862.999999807419
supply145 	 4 	 4 	 2659.949999716173
supply146 	 1 	 1 	 3356.999999896365
supply147 	 0 	 0 	 0.0
supply148 	 7 	 7 	 1575.8999998240304
supply149 	 15 	 15 	 4155.2533331058285
emergency150 	 1 	 1 	 3884.599999883565
emergency151 	 0 	 0 	 0.0
emergency152 	 8 	 8 	 25937.74999944502
emergency153 	 3 	 3 	 13461.433332930703
repairer154 	 0 	 0 	 0.0
rescue155 	 4 	 4 	 34088.649999364876
rescue156 	 0 	 0 	 0.0
rescue157 	 3 	 3 	 32898.3999993808
rescue158 	 3 	 3 	 4870.533333080085
rescue159 	 2 	 2 	 5754.449999686392
rescue160 	 2 	 2 	 9693.799999663526
rescue161 	 3 	 3 	 11644.93333304794
rescue162 	 0 	 0 	 0.0
rescue163 	 10 	 10 	 2440.039999798324
rescue164 	 13 	 13 	 8233.630768907413
rescue165 	 6 	 6 	 26017.933333295205
rescue166 	 0 	 0 	 0.0
rescue167 	 0 	 0 	 0.0
rescue168 	 8 	 8 	 5432.724999772157
rescue169 	 2 	 2 	 12946.999999618047
rescue170 	 3 	 3 	 7753.066666343223
rescue171 	 3 	 3 	 15201.866666237622
rescue172 	 12 	 12 	 9289.28333303635
rescue173 	 5 	 5 	 2671.25999983156
rescue174 	 5 	 5 	 19300.799999562376
rescue175 	 6 	 6 	 15443.983332974029
rescue176 	 2 	 2 	 24779.54999955826
rescue177 	 0 	 0 	 0.0
rescue178 	 7 	 7 	 20984.657142419564
rescue179 	 0 	 0 	 0.0
rescue180 	 0 	 0 	 0.0
rescue181 	 8 	 8 	 11095.24999970847
rescue182 	 1 	 1 	 17731.899999662972
rescue183 	 0 	 0 	 0.0
rescue184 	 1 	 1 	 10699.899999798829
rescue185 	 3 	 3 	 47692.80000005771
rescue186 	 4 	 4 	 9323.099999717466
rescue187 	 0 	 0 	 0.0
rescue188 	 4 	 4 	 27357.24999940067
rescue189 	 0 	 0 	 0.0
rescue190 	 16 	 16 	 12156.14999966291
rescue191 	 0 	 0 	 0.0
rescue192 	 8 	 8 	 4374.3999997150895
rescue193 	 0 	 0 	 0.0
rescue194 	 0 	 0 	 0.0
policepatrol195 	 9 	 9 	 2796.922221976642
policepatrol196 	 0 	 0 	 0.0
policepatrol197 	 10 	 10 	 13429.329999631474
policepatrol198 	 2 	 2 	 2195.749999678341
policepatrol199 	 0 	 0 	 0.0
people200 	 3 	 3 	 3117.1666663504584
people201 	 4 	 4 	 8643.174999735276
people202 	 4 	 0 	 0.0
people203 	 3 	 3 	 5910.133333028481
people204 	 6 	 6 	 3016.8166664039945
people205 	 1 	 1 	 53661.60000018163
people206 	 8 	 8 	 3355.4874997941756
people207 	 5 	 5 	 5301.859999734234
people208 	 6 	 6 	 7940.7833330520125
people209 	 4 	 4 	 2227.074999812169
people210 	 7 	 7 	 10157.242856828378
people211 	 4 	 4 	 36006.54999952603
people212 	 5 	 0 	 0.0
people213 	 8 	 8 	 809.7499998178841
people214 	 7 	 7 	 4897.314285493642
people215 	 5 	 5 	 5648.539999723509
people216 	 13 	 13 	 18100.19230724282
people217 	 6 	 6 	 2689.983333095594
people218 	 0 	 0 	 0.0
people219 	 4 	 4 	 5477.749999752351
people220 	 6 	 6 	 11387.98333306984
people221 	 0 	 0 	 0.0
people222 	 1 	 1 	 1092.4999997491104
people223 	 11 	 0 	 0.0
people224 	 0 	 0 	 0.0
225 	 798 	 724 	 6788.029218763385 	 84600.00000043648 	 100000000 	 4
