Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 0 	 0 	 0.0
house12 	 0 	 0 	 0.0
house13 	 1 	 1 	 9390.09999970939
house14 	 0 	 0 	 0.0
house15 	 0 	 0 	 0.0
house16 	 2 	 0 	 0.0
house17 	 0 	 0 	 0.0
house18 	 4 	 4 	 7038.799999762814
house19 	 0 	 0 	 0.0
house20 	 2 	 2 	 40050.14999993137
house21 	 3 	 3 	 8525.699999789489
house22 	 1 	 1 	 11707.999999716638
house23 	 3 	 3 	 19788.766666129897
house24 	 2 	 0 	 0.0
house25 	 0 	 0 	 0.0
house26 	 0 	 0 	 0.0
house27 	 1 	 0 	 0.0
house28 	 1 	 1 	 3802.8999999131593
house29 	 0 	 0 	 0.0
house30 	 3 	 3 	 15598.733332927774
house31 	 0 	 0 	 0.0
house32 	 1 	 1 	 6471.699999779332
house33 	 0 	 0 	 0.0
house34 	 1 	 0 	 0.0
house35 	 0 	 0 	 0.0
house36 	 0 	 0 	 0.0
house37 	 3 	 0 	 0.0
house38 	 0 	 0 	 0.0
house39 	 2 	 2 	 12524.44999972804
house40 	 0 	 0 	 0.0
house41 	 5 	 0 	 0.0
house42 	 2 	 2 	 1481.6999997769726
house43 	 0 	 0 	 0.0
house44 	 3 	 0 	 0.0
house45 	 4 	 4 	 5116.349999796608
house46 	 0 	 0 	 0.0
house47 	 5 	 5 	 27382.199999495446
house48 	 0 	 0 	 0.0
house49 	 1 	 1 	 25998.099999364887
house50 	 0 	 0 	 0.0
house51 	 4 	 4 	 2721.2499997167943
house52 	 1 	 1 	 27532.899999523608
house53 	 2 	 2 	 5501.2499996796
house54 	 2 	 2 	 13288.94999949561
house55 	 2 	 2 	 6707.949999710003
house56 	 2 	 2 	 25606.449999416833
house57 	 0 	 0 	 0.0
house58 	 0 	 0 	 0.0
house59 	 3 	 3 	 6115.366666330266
house60 	 0 	 0 	 0.0
house61 	 0 	 0 	 0.0
house62 	 1 	 0 	 0.0
house63 	 0 	 0 	 0.0
house64 	 1 	 0 	 0.0
house65 	 3 	 0 	 0.0
house66 	 1 	 0 	 0.0
house67 	 1 	 1 	 43566.3999997542
house68 	 0 	 0 	 0.0
house69 	 2 	 2 	 36602.54999951649
house70 	 2 	 0 	 0.0
house71 	 0 	 0 	 0.0
house72 	 2 	 2 	 580.2999997891584
house73 	 0 	 0 	 0.0
house74 	 1 	 1 	 17627.7999997043
house75 	 1 	 1 	 14010.799999708273
house76 	 1 	 1 	 4300.899999702422
house77 	 0 	 0 	 0.0
house78 	 1 	 0 	 0.0
house79 	 5 	 5 	 15946.099999618458
house80 	 0 	 0 	 0.0
house81 	 1 	 1 	 30716.299999452604
house82 	 0 	 0 	 0.0
house83 	 4 	 4 	 4461.924999724758
house84 	 0 	 0 	 0.0
house85 	 0 	 0 	 0.0
house86 	 0 	 0 	 0.0
house87 	 0 	 0 	 0.0
house88 	 0 	 0 	 0.0
house89 	 7 	 7 	 37854.857142225395
house90 	 0 	 0 	 0.0
house91 	 3 	 0 	 0.0
house92 	 0 	 0 	 0.0
house93 	 1 	 0 	 0.0
house94 	 2 	 2 	 6304.749999630421
house95 	 0 	 0 	 0.0
house96 	 0 	 0 	 0.0
house97 	 0 	 0 	 0.0
house98 	 0 	 0 	 0.0
house99 	 0 	 0 	 0.0
house100 	 0 	 0 	 0.0
house101 	 1 	 1 	 5479.499999611697
house102 	 1 	 0 	 0.0
house103 	 2 	 0 	 0.0
house104 	 0 	 0 	 0.0
house105 	 3 	 0 	 0.0
house106 	 3 	 0 	 0.0
house107 	 4 	 0 	 0.0
house108 	 0 	 0 	 0.0
house109 	 0 	 0 	 0.0
reliefcenter110 	 2 	 2 	 3325.549999756662
reliefcenter111 	 0 	 0 	 0.0
reliefcenter112 	 0 	 0 	 0.0
reliefcenter113 	 1 	 1 	 605.5999998022962
reliefcenter114 	 4 	 4 	 5439.324999763153
reliefcenter115 	 3 	 3 	 18174.166666320565
reliefcenter116 	 1 	 1 	 9721.099999547645
reliefcenter117 	 2 	 2 	 5932.749999745265
reliefcenter118 	 1 	 0 	 0.0
mainreliefcenter119 	 4 	 4 	 1470.4749997395347
mainreliefcenter120 	 0 	 0 	 0.0
policestation121 	 4 	 4 	 15798.949999594126
publicworks122 	 0 	 0 	 0.0
evacuation123 	 0 	 0 	 0.0
evacuation124 	 0 	 0 	 0.0
evacuation125 	 2 	 2 	 22173.949999716042
evacuation126 	 2 	 2 	 30132.049999446437
evacuation127 	 0 	 0 	 0.0
medical128 	 7 	 7 	 2552.585714130922
medical129 	 0 	 0 	 0.0
supply130 	 2 	 0 	 0.0
supply131 	 2 	 2 	 12454.049999586572
supply132 	 0 	 0 	 0.0
supply133 	 4 	 0 	 0.0
supply134 	 0 	 0 	 0.0
supply135 	 5 	 0 	 0.0
supply136 	 2 	 2 	 33622.849999448285
supply137 	 1 	 0 	 0.0
supply138 	 3 	 3 	 37013.53333311651
supply139 	 0 	 0 	 0.0
supply140 	 0 	 0 	 0.0
supply141 	 4 	 4 	 33793.949999417484
supply142 	 0 	 0 	 0.0
supply143 	 1 	 1 	 694.899999774454
supply144 	 0 	 0 	 0.0
supply145 	 1 	 1 	 1059.3999998846302
supply146 	 5 	 5 	 7937.879999696214
supply147 	 0 	 0 	 0.0
supply148 	 0 	 0 	 0.0
supply149 	 2 	 2 	 18690.299999626208
emergency150 	 1 	 1 	 19806.299999439536
emergency151 	 0 	 0 	 0.0
emergency152 	 0 	 0 	 0.0
emergency153 	 6 	 6 	 29426.44999939477
repairer154 	 0 	 0 	 0.0
rescue155 	 0 	 0 	 0.0
rescue156 	 2 	 2 	 2722.2499998746353
rescue157 	 0 	 0 	 0.0
rescue158 	 0 	 0 	 0.0
rescue159 	 2 	 2 	 9422.449999618348
rescue160 	 0 	 0 	 0.0
rescue161 	 0 	 0 	 0.0
rescue162 	 3 	 3 	 11954.666666240637
rescue163 	 0 	 0 	 0.0
rescue164 	 0 	 0 	 0.0
rescue165 	 0 	 0 	 0.0
rescue166 	 1 	 1 	 13391.899999709363
rescue167 	 5 	 1 	 9353.199999763012
rescue168 	 1 	 1 	 16029.799999558287
rescue169 	 8 	 0 	 0.0
rescue170 	 3 	 3 	 7083.499999723397
rescue171 	 1 	 1 	 10690.499999791049
rescue172 	 0 	 0 	 0.0
rescue173 	 3 	 3 	 21117.366666170168
rescue174 	 2 	 2 	 1939.6499996999955
rescue175 	 1 	 1 	 35218.499999463864
rescue176 	 0 	 0 	 0.0
rescue177 	 1 	 0 	 0.0
rescue178 	 1 	 1 	 27469.59999936486
rescue179 	 0 	 0 	 0.0
rescue180 	 1 	 1 	 6202.5999996584505
rescue181 	 0 	 0 	 0.0
rescue182 	 0 	 0 	 0.0
rescue183 	 0 	 0 	 0.0
rescue184 	 5 	 5 	 12190.799999634826
rescue185 	 3 	 3 	 2753.766666502117
rescue186 	 3 	 3 	 6539.566666361346
rescue187 	 1 	 1 	 10706.499999653912
rescue188 	 1 	 1 	 9479.19999979424
rescue189 	 1 	 1 	 5048.899999785601
rescue190 	 3 	 0 	 0.0
rescue191 	 2 	 2 	 27546.84999933295
rescue192 	 1 	 1 	 5612.899999740141
rescue193 	 2 	 0 	 0.0
rescue194 	 2 	 2 	 3072.799999687697
policepatrol195 	 1 	 1 	 11754.199999579992
policepatrol196 	 3 	 3 	 17250.433333362933
policepatrol197 	 5 	 5 	 10590.139999677025
policepatrol198 	 5 	 5 	 3505.7599998054466
policepatrol199 	 0 	 0 	 0.0
people200 	 0 	 0 	 0.0
people201 	 4 	 4 	 1889.7249998113157
people202 	 0 	 0 	 0.0
people203 	 0 	 0 	 0.0
people204 	 2 	 0 	 0.0
people205 	 1 	 0 	 0.0
people206 	 4 	 4 	 2047.0999997800373
people207 	 2 	 2 	 1892.3499997966082
people208 	 2 	 0 	 0.0
people209 	 1 	 1 	 17700.59999964713
people210 	 4 	 0 	 0.0
people211 	 0 	 0 	 0.0
people212 	 0 	 0 	 0.0
people213 	 0 	 0 	 0.0
people214 	 2 	 2 	 18167.049999630563
people215 	 0 	 0 	 0.0
people216 	 2 	 0 	 0.0
people217 	 0 	 0 	 0.0
people218 	 4 	 4 	 3756.824999741654
people219 	 1 	 0 	 0.0
people220 	 2 	 0 	 0.0
people221 	 0 	 0 	 0.0
people222 	 3 	 3 	 11592.266666302878
people223 	 0 	 0 	 0.0
people224 	 0 	 0 	 0.0
225 	 299 	 211 	 5179.216805161531 	 84600.00000043648 	 100000000 	 2
