Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 4 	 4 	 2390.274999783426
house12 	 4 	 0 	 0.0
house13 	 3 	 0 	 0.0
house14 	 4 	 0 	 0.0
house15 	 0 	 0 	 0.0
house16 	 0 	 0 	 0.0
house17 	 3 	 3 	 4272.5999997913095
house18 	 1 	 1 	 2877.799999798568
house19 	 1 	 1 	 48594.59999962033
house20 	 5 	 5 	 4838.159999812972
house21 	 0 	 0 	 0.0
house22 	 0 	 0 	 0.0
house23 	 0 	 0 	 0.0
house24 	 1 	 0 	 0.0
house25 	 4 	 4 	 6545.14999976406
house26 	 0 	 0 	 0.0
house27 	 0 	 0 	 0.0
house28 	 2 	 2 	 32667.34999942584
house29 	 6 	 6 	 8860.099999718965
house30 	 1 	 1 	 838.4999998398816
house31 	 1 	 0 	 0.0
house32 	 1 	 1 	 14865.599999482096
house33 	 4 	 4 	 24252.549999482406
house34 	 0 	 0 	 0.0
house35 	 6 	 0 	 0.0
house36 	 0 	 0 	 0.0
house37 	 3 	 3 	 11733.86666639321
house38 	 0 	 0 	 0.0
house39 	 6 	 4 	 4619.149999766358
house40 	 6 	 6 	 4011.549999792545
house41 	 0 	 0 	 0.0
house42 	 0 	 0 	 0.0
house43 	 0 	 0 	 0.0
house44 	 2 	 0 	 0.0
house45 	 4 	 4 	 19321.849999493734
house46 	 3 	 3 	 13641.599999696882
house47 	 7 	 7 	 31297.928570854485
house48 	 1 	 0 	 0.0
house49 	 0 	 0 	 0.0
house50 	 4 	 4 	 12868.349999641661
house51 	 0 	 0 	 0.0
house52 	 0 	 0 	 0.0
house53 	 4 	 4 	 16652.299999602314
house54 	 3 	 3 	 2122.433333195044
house55 	 1 	 1 	 674.2999996555445
house56 	 0 	 0 	 0.0
house57 	 2 	 2 	 5193.549999792576
house58 	 1 	 1 	 15949.299999602299
house59 	 3 	 3 	 2423.699999786392
house60 	 3 	 0 	 0.0
house61 	 1 	 1 	 947.5999999114028
house62 	 3 	 3 	 27255.1333327053
house63 	 3 	 3 	 4516.399999730485
house64 	 0 	 0 	 0.0
house65 	 3 	 3 	 9877.966666268994
house66 	 3 	 0 	 0.0
house67 	 7 	 0 	 0.0
house68 	 0 	 0 	 0.0
house69 	 2 	 2 	 6633.049999715749
house70 	 6 	 6 	 11370.766666385573
house71 	 0 	 0 	 0.0
house72 	 7 	 7 	 25872.14285656876
house73 	 2 	 2 	 955.8499998877669
house74 	 0 	 0 	 0.0
house75 	 3 	 3 	 34724.96666632097
house76 	 0 	 0 	 0.0
house77 	 6 	 6 	 10680.449999695735
house78 	 2 	 2 	 1374.0499996858744
house79 	 1 	 0 	 0.0
house80 	 0 	 0 	 0.0
house81 	 7 	 7 	 4200.257142622694
house82 	 1 	 1 	 2008.4999999485844
house83 	 0 	 0 	 0.0
house84 	 7 	 0 	 0.0
house85 	 3 	 3 	 7537.799999760093
house86 	 1 	 1 	 4011.199999717348
house87 	 0 	 0 	 0.0
house88 	 3 	 3 	 1906.7333330964393
house89 	 5 	 5 	 12532.89999966822
house90 	 0 	 0 	 0.0
house91 	 3 	 3 	 13032.333332987238
house92 	 0 	 0 	 0.0
house93 	 4 	 4 	 10301.09999972698
house94 	 4 	 4 	 1282.8749997785853
house95 	 4 	 4 	 12884.299999570881
house96 	 0 	 0 	 0.0
house97 	 7 	 7 	 38588.91428537061
house98 	 1 	 0 	 0.0
house99 	 13 	 0 	 0.0
house100 	 5 	 5 	 13862.959999765488
house101 	 0 	 0 	 0.0
house102 	 1 	 1 	 47965.19999965634
house103 	 3 	 3 	 30022.566666058436
house104 	 0 	 0 	 0.0
house105 	 4 	 0 	 0.0
house106 	 0 	 0 	 0.0
house107 	 5 	 0 	 0.0
house108 	 2 	 0 	 0.0
house109 	 0 	 0 	 0.0
reliefcenter110 	 0 	 0 	 0.0
reliefcenter111 	 3 	 3 	 34675.53333286866
reliefcenter112 	 1 	 1 	 7735.0999996817845
reliefcenter113 	 7 	 7 	 3185.9285711631164
reliefcenter114 	 0 	 0 	 0.0
reliefcenter115 	 0 	 0 	 0.0
reliefcenter116 	 0 	 0 	 0.0
reliefcenter117 	 0 	 0 	 0.0
reliefcenter118 	 9 	 9 	 4379.0444441752215
mainreliefcenter119 	 3 	 3 	 674.5333331248452
mainreliefcenter120 	 2 	 2 	 1743.5999998919033
policestation121 	 5 	 5 	 2362.479999752143
publicworks122 	 0 	 0 	 0.0
evacuation123 	 0 	 0 	 0.0
evacuation124 	 0 	 0 	 0.0
evacuation125 	 11 	 11 	 8168.336363347954
evacuation126 	 2 	 2 	 10210.699999564502
evacuation127 	 1 	 1 	 16306.699999697681
medical128 	 2 	 2 	 2471.749999753718
medical129 	 4 	 4 	 3477.799999763758
supply130 	 2 	 2 	 13660.749999671225
supply131 	 4 	 4 	 25218.449999482433
supply132 	 0 	 0 	 0.0
supply133 	 0 	 0 	 0.0
supply134 	 2 	 2 	 2317.0499997983443
supply135 	 3 	 3 	 6397.766666326624
supply136 	 0 	 0 	 0.0
supply137 	 0 	 0 	 0.0
supply138 	 4 	 4 	 5375.649999730438
supply139 	 6 	 6 	 8940.849999738975
supply140 	 3 	 0 	 0.0
supply141 	 0 	 0 	 0.0
supply142 	 6 	 6 	 7072.716666419946
supply143 	 1 	 1 	 10383.799999748946
supply144 	 1 	 1 	 1862.1999996531595
supply145 	 0 	 0 	 0.0
supply146 	 5 	 2 	 25661.299999513125
supply147 	 3 	 3 	 30927.43333272124
supply148 	 3 	 0 	 0.0
supply149 	 0 	 0 	 0.0
emergency150 	 5 	 5 	 22110.939999533373
emergency151 	 0 	 0 	 0.0
emergency152 	 3 	 0 	 0.0
emergency153 	 2 	 2 	 2097.9499996627674
repairer154 	 6 	 6 	 21790.249999523006
rescue155 	 9 	 9 	 16255.366666260476
rescue156 	 3 	 3 	 13341.49999971941
rescue157 	 0 	 0 	 0.0
rescue158 	 0 	 0 	 0.0
rescue159 	 0 	 0 	 0.0
rescue160 	 4 	 4 	 5007.974999689804
rescue161 	 3 	 3 	 18206.59999944931
rescue162 	 3 	 3 	 10988.833333051123
rescue163 	 1 	 1 	 3384.299999854524
rescue164 	 1 	 1 	 8578.09999976358
rescue165 	 2 	 2 	 12443.049999615137
rescue166 	 1 	 1 	 6422.599999681792
rescue167 	 0 	 0 	 0.0
rescue168 	 4 	 4 	 2888.8749998024796
rescue169 	 2 	 2 	 29834.04999939466
rescue170 	 1 	 1 	 7516.999999674714
rescue171 	 0 	 0 	 0.0
rescue172 	 4 	 4 	 46691.3500001354
rescue173 	 0 	 0 	 0.0
rescue174 	 5 	 5 	 30993.399999473902
rescue175 	 7 	 7 	 16375.999999564225
rescue176 	 4 	 4 	 14815.649999595744
rescue177 	 3 	 3 	 7373.333333051116
rescue178 	 1 	 1 	 1752.6999997525418
rescue179 	 2 	 2 	 4866.749999795236
rescue180 	 0 	 0 	 0.0
rescue181 	 0 	 0 	 0.0
rescue182 	 1 	 1 	 10501.299999575873
rescue183 	 6 	 6 	 3273.9666664093324
rescue184 	 0 	 0 	 0.0
rescue185 	 0 	 0 	 0.0
rescue186 	 0 	 0 	 0.0
rescue187 	 5 	 0 	 0.0
rescue188 	 3 	 3 	 15908.766666388454
rescue189 	 3 	 3 	 32771.13333266042
rescue190 	 2 	 2 	 3683.099999722588
rescue191 	 1 	 1 	 12340.899999550966
rescue192 	 1 	 0 	 0.0
rescue193 	 2 	 2 	 17439.549999635794
rescue194 	 0 	 0 	 0.0
policepatrol195 	 9 	 9 	 7708.877777532277
policepatrol196 	 1 	 1 	 5379.199999611294
policepatrol197 	 2 	 2 	 6362.649999752977
policepatrol198 	 1 	 1 	 4505.9999996649785
policepatrol199 	 0 	 0 	 0.0
people200 	 0 	 0 	 0.0
people201 	 0 	 0 	 0.0
people202 	 6 	 0 	 0.0
people203 	 0 	 0 	 0.0
people204 	 1 	 1 	 28398.79999933685
people205 	 2 	 0 	 0.0
people206 	 4 	 4 	 6380.674999703124
people207 	 3 	 3 	 9872.866666394175
people208 	 4 	 4 	 9229.674999729068
people209 	 0 	 0 	 0.0
people210 	 0 	 0 	 0.0
people211 	 2 	 0 	 0.0
people212 	 3 	 0 	 0.0
people213 	 2 	 0 	 0.0
people214 	 8 	 7 	 4008.414285499127
people215 	 2 	 2 	 6506.149999631682
people216 	 0 	 0 	 0.0
people217 	 2 	 0 	 0.0
people218 	 6 	 6 	 7749.049999737151
people219 	 5 	 5 	 5217.799999839904
people220 	 1 	 0 	 0.0
people221 	 2 	 2 	 4673.44999972657
people222 	 3 	 0 	 0.0
people223 	 1 	 1 	 8852.099999841546
people224 	 0 	 0 	 0.0
225 	 499 	 389 	 6104.75133746656 	 84600.00000043648 	 100000000 	 3
