Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 2 	 2 	 2812.049999711282
house12 	 1 	 0 	 0.0
house13 	 0 	 0 	 0.0
house14 	 2 	 0 	 0.0
house15 	 0 	 0 	 0.0
house16 	 1 	 1 	 23033.699999482444
house17 	 0 	 0 	 0.0
house18 	 2 	 2 	 8989.999999647458
house19 	 0 	 0 	 0.0
house20 	 1 	 0 	 0.0
house21 	 2 	 0 	 0.0
house22 	 1 	 1 	 6296.699999697594
house23 	 4 	 4 	 16263.249999602387
house24 	 3 	 0 	 0.0
house25 	 2 	 2 	 10432.649999764068
house26 	 0 	 0 	 0.0
house27 	 3 	 0 	 0.0
house28 	 1 	 1 	 37867.099999425845
house29 	 3 	 3 	 7376.433333052312
house30 	 0 	 0 	 0.0
house31 	 0 	 0 	 0.0
house32 	 3 	 3 	 10045.499999688987
house33 	 1 	 1 	 33434.19999948244
house34 	 1 	 1 	 9133.899999636284
house35 	 11 	 0 	 0.0
house36 	 1 	 0 	 0.0
house37 	 1 	 1 	 13970.699999726552
house38 	 0 	 0 	 0.0
house39 	 4 	 4 	 15567.949999644286
house40 	 0 	 0 	 0.0
house41 	 6 	 6 	 3963.7666664200174
house42 	 0 	 0 	 0.0
house43 	 1 	 1 	 2639.6999997401
house44 	 5 	 0 	 0.0
house45 	 0 	 0 	 0.0
house46 	 1 	 1 	 5001.099999696889
house47 	 2 	 2 	 20435.749999425952
house48 	 0 	 0 	 0.0
house49 	 0 	 0 	 0.0
house50 	 4 	 4 	 9908.274999641662
house51 	 0 	 0 	 0.0
house52 	 2 	 2 	 9506.949999697677
house53 	 3 	 3 	 20491.133332935664
house54 	 1 	 1 	 353.8999997114297
house55 	 4 	 4 	 4553.174999743222
house56 	 0 	 0 	 0.0
house57 	 2 	 2 	 11234.649999637379
house58 	 0 	 0 	 0.0
house59 	 1 	 1 	 7722.799999848201
house60 	 3 	 1 	 2324.499999950971
house61 	 4 	 4 	 20435.799999546558
house62 	 7 	 7 	 29337.65714222909
house63 	 2 	 2 	 3246.699999711942
house64 	 5 	 0 	 0.0
house65 	 1 	 1 	 11754.799999602335
house66 	 3 	 0 	 0.0
house67 	 0 	 0 	 0.0
house68 	 0 	 0 	 0.0
house69 	 3 	 3 	 3361.9999997763093
house70 	 4 	 4 	 8687.024999689818
house71 	 3 	 3 	 5969.26666641109
house72 	 1 	 1 	 35236.59999942594
house73 	 0 	 0 	 0.0
house74 	 0 	 0 	 0.0
house75 	 1 	 1 	 32825.79999965428
house76 	 0 	 0 	 0.0
house77 	 0 	 0 	 0.0
house78 	 0 	 0 	 0.0
house79 	 1 	 0 	 0.0
house80 	 3 	 3 	 6577.133332990369
house81 	 3 	 3 	 4315.566666548307
house82 	 6 	 6 	 32474.14999972576
house83 	 0 	 0 	 0.0
house84 	 0 	 0 	 0.0
house85 	 0 	 0 	 0.0
house86 	 0 	 0 	 0.0
house87 	 0 	 0 	 0.0
house88 	 2 	 2 	 2002.6999997749226
house89 	 3 	 3 	 9562.799999668227
house90 	 0 	 0 	 0.0
house91 	 0 	 0 	 0.0
house92 	 2 	 2 	 5679.099999722181
house93 	 1 	 1 	 16686.799999433708
house94 	 0 	 0 	 0.0
house95 	 0 	 0 	 0.0
house96 	 5 	 5 	 7851.739999684185
house97 	 0 	 0 	 0.0
house98 	 0 	 0 	 0.0
house99 	 1 	 0 	 0.0
house100 	 0 	 0 	 0.0
house101 	 0 	 0 	 0.0
house102 	 4 	 4 	 41436.449999656295
house103 	 2 	 2 	 42139.64999939175
house104 	 5 	 0 	 0.0
house105 	 0 	 0 	 0.0
house106 	 0 	 0 	 0.0
house107 	 7 	 0 	 0.0
house108 	 4 	 0 	 0.0
house109 	 4 	 0 	 0.0
reliefcenter110 	 2 	 2 	 9267.44999970442
reliefcenter111 	 0 	 0 	 0.0
reliefcenter112 	 1 	 1 	 4753.999999820622
reliefcenter113 	 0 	 0 	 0.0
reliefcenter114 	 0 	 0 	 0.0
reliefcenter115 	 5 	 5 	 3260.9599997387877
reliefcenter116 	 1 	 1 	 4118.69999966363
reliefcenter117 	 2 	 2 	 1960.299999697134
reliefcenter118 	 0 	 0 	 0.0
mainreliefcenter119 	 3 	 3 	 983.9666663779304
mainreliefcenter120 	 6 	 6 	 1098.2166664926808
policestation121 	 0 	 0 	 0.0
publicworks122 	 2 	 2 	 23225.649999426798
evacuation123 	 1 	 1 	 2274.6999998213105
evacuation124 	 3 	 1 	 42484.40000037108
evacuation125 	 2 	 2 	 19066.649999589998
evacuation126 	 1 	 1 	 10773.299999719064
evacuation127 	 0 	 0 	 0.0
medical128 	 4 	 4 	 3543.9499997409102
medical129 	 0 	 0 	 0.0
supply130 	 4 	 4 	 6901.249999671218
supply131 	 2 	 2 	 26794.949999482425
supply132 	 3 	 0 	 0.0
supply133 	 2 	 2 	 5207.149999743484
supply134 	 0 	 0 	 0.0
supply135 	 0 	 0 	 0.0
supply136 	 1 	 1 	 856.3999996580169
supply137 	 4 	 4 	 10114.699999616132
supply138 	 1 	 1 	 231.29999994604077
supply139 	 1 	 1 	 16811.399999595575
supply140 	 2 	 0 	 0.0
supply141 	 4 	 4 	 4215.1499998834115
supply142 	 5 	 5 	 7447.1999997519115
supply143 	 4 	 4 	 11973.274999670053
supply144 	 3 	 3 	 7888.966666403799
supply145 	 0 	 0 	 0.0
supply146 	 1 	 1 	 14918.799999527422
supply147 	 3 	 3 	 27076.26666605458
supply148 	 1 	 0 	 0.0
supply149 	 1 	 1 	 39822.09999956233
emergency150 	 0 	 0 	 0.0
emergency151 	 4 	 4 	 3781.774999836168
emergency152 	 1 	 0 	 0.0
emergency153 	 6 	 6 	 11976.283332996085
repairer154 	 2 	 2 	 22149.24999952302
rescue155 	 4 	 4 	 11699.449999593828
rescue156 	 0 	 0 	 0.0
rescue157 	 2 	 2 	 18703.049999443483
rescue158 	 0 	 0 	 0.0
rescue159 	 3 	 3 	 25212.433333176206
rescue160 	 0 	 0 	 0.0
rescue161 	 3 	 3 	 7030.733332985476
rescue162 	 0 	 0 	 0.0
rescue163 	 0 	 0 	 0.0
rescue164 	 0 	 0 	 0.0
rescue165 	 3 	 3 	 8336.633332948468
rescue166 	 1 	 1 	 4470.599999681792
rescue167 	 3 	 3 	 3390.5333331069
rescue168 	 1 	 1 	 11028.799999643634
rescue169 	 6 	 6 	 28501.71666606131
rescue170 	 0 	 0 	 0.0
rescue171 	 2 	 2 	 17788.549999523613
rescue172 	 2 	 2 	 51634.85000013537
rescue173 	 1 	 1 	 11709.399999693334
rescue174 	 6 	 6 	 22292.8499994739
rescue175 	 6 	 6 	 16057.416666270306
rescue176 	 3 	 3 	 16339.99999952552
rescue177 	 2 	 2 	 7796.749999768897
rescue178 	 4 	 4 	 7400.699999704926
rescue179 	 5 	 5 	 4961.719999709802
rescue180 	 0 	 0 	 0.0
rescue181 	 1 	 1 	 5591.499999857329
rescue182 	 5 	 5 	 20780.69999957586
rescue183 	 0 	 0 	 0.0
rescue184 	 4 	 4 	 5431.849999753834
rescue185 	 0 	 0 	 0.0
rescue186 	 0 	 0 	 0.0
rescue187 	 2 	 0 	 0.0
rescue188 	 0 	 0 	 0.0
rescue189 	 3 	 3 	 37112.46666599376
rescue190 	 4 	 4 	 3066.4499996981504
rescue191 	 8 	 8 	 7750.58749968802
rescue192 	 3 	 0 	 0.0
rescue193 	 0 	 0 	 0.0
rescue194 	 4 	 4 	 6668.17499978264
policepatrol195 	 0 	 0 	 0.0
policepatrol196 	 0 	 0 	 0.0
policepatrol197 	 0 	 0 	 0.0
policepatrol198 	 0 	 0 	 0.0
policepatrol199 	 2 	 0 	 0.0
people200 	 3 	 3 	 8817.966666415736
people201 	 0 	 0 	 0.0
people202 	 3 	 0 	 0.0
people203 	 3 	 3 	 22653.733332864515
people204 	 0 	 0 	 0.0
people205 	 5 	 0 	 0.0
people206 	 4 	 4 	 5836.924999651665
people207 	 0 	 0 	 0.0
people208 	 1 	 1 	 9912.099999805167
people209 	 0 	 0 	 0.0
people210 	 1 	 1 	 12148.799999562609
people211 	 2 	 0 	 0.0
people212 	 2 	 0 	 0.0
people213 	 1 	 0 	 0.0
people214 	 0 	 0 	 0.0
people215 	 2 	 2 	 13609.149999631696
people216 	 1 	 1 	 2140.199999644923
people217 	 1 	 0 	 0.0
people218 	 6 	 6 	 8037.049999737151
people219 	 2 	 2 	 2895.4999998278763
people220 	 0 	 0 	 0.0
people221 	 0 	 0 	 0.0
people222 	 6 	 0 	 0.0
people223 	 3 	 3 	 6321.299999630336
people224 	 0 	 0 	 0.0
225 	 399 	 302 	 6271.336324179145 	 84600.00000043648 	 100000000 	 3
