0	7
1	6
2	9
3	4
4	7
5	4
6	4
7	8
8	5
9	4
10	5
11	6
12	7
13	11
14	6
15	5
16	10
17	3
18	4
19	3
20	6
21	8
22	5
23	3
24	6
25	6
26	2
27	4
28	2
29	4
30	1
31	6
32	3
33	6
34	5
35	4
36	2
37	5
38	5
39	4
40	4
41	3
42	6
43	5
44	4
45	4
46	7
47	4
48	8
49	6
50	10
51	6
52	6
53	2
54	6
55	1
56	4
57	8
58	2
59	5
60	8
61	6
62	1
63	1
64	2
65	5
66	6
67	4
68	5
69	3
70	5
71	5
72	7
73	6
74	8
75	2
76	1
77	9
78	2
79	5
80	8
81	5
82	6
83	4
84	2
85	6
86	2
87	4
88	2
89	3
90	8
91	8
92	1
93	5
94	3
95	5
96	7
97	4
98	3
99	4
100	5
101	5
102	3
103	5
104	5
105	6
106	3
107	3
108	9
109	3
110	3
111	5
112	8
113	4
114	3
115	7
116	2
117	5
118	9
